game_id,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,player,START_POSITION,COMMENT,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TOV,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,E_USG_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,game_date,season,Team,Relinquished,Notes
21200990,1610612742.0,DAL,Dallas,201958.0,Rodrigue Beaubois,,,6.616666666666666,97.0,100.0,110.2,114.3,-13.2,-14.3,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.28600000000000003,0.27699999999999997,105.04,101.56,84.63,14.0,-0.244,2013-03-17,2012-13,Mavericks,Rodrigue Beaubois,fractured left hand (out indefinitely)
21201068,1610612762.0,UTA,Utah,202683.0,Enes Kanter,,,3.4833333333333334,140.0,140.0,83.3,83.3,56.7,56.7,0.0,0.0,0.0,0.0,0.33299999999999996,0.2,50.0,0.0,0.0,0.33299999999999996,0.33299999999999996,75.79,75.79,63.16,5.0,-0.11800000000000001,2013-03-27,2012-13,Jazz,Enes Kanter,dislocated left shoulder (out indefinitely)
21201189,1610612747.0,LAL,Los Angeles,977.0,Kobe Bryant,G,,44.9,121.8,121.1,123.6,122.5,-1.8,-1.4,0.174,0.8,10.5,0.0,0.10400000000000001,0.06,13.2,0.524,0.606,0.35100000000000003,0.368,94.95,95.68,79.73,90.0,0.102,2013-04-12,2012-13,Lakers,Kobe Bryant,torn left Achilles tendon (out indefinitely)
21201209,1610612758.0,SAC,Sacramento,201936.0,Tyreke Evans,G,,10.0,73.5,80.0,101.7,100.0,-28.2,-20.0,0.33299999999999996,0.0,16.7,0.0,0.0,0.0,0.0,0.8,0.8,0.217,0.22,101.76,98.4,82.0,20.0,0.302,2013-04-15,2012-13,Kings,Tyreke Evans,sore left shoulder (DNP)
21300025,1610612745.0,HOU,Houston,201956.0,Omri Casspi,,,21.233333333333334,127.3,125.0,89.1,91.5,38.3,33.5,0.133,2.0,16.7,0.038,0.032,0.035,8.3,0.688,0.6759999999999999,0.16699999999999998,0.172,107.83,107.38,89.48,48.0,0.114,2013-11-01,2013-14,Rockets,Omri Casspi,sprained left ankle (DNP)
21300027,1610612750.0,MIN,Minnesota,101142.0,Ronny Turiaf,,,3.1166666666666667,156.2,112.5,116.3,114.3,40.0,-1.8,0.33299999999999996,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.33,115.51,96.26,8.0,0.0,2013-11-01,2013-14,Timberwolves,Ronny Turiaf,fractured right elbow (out indefinitely)
21300029,1610612757.0,POR,Portland,201964.0,Victor Claver,,,1.3666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.24,87.8,73.17,3.0,0.0,2013-11-01,2013-14,Blazers,Victor Claver,placed on IL
21300254,1610612740.0,NOP,New Orleans,203076.0,Anthony Davis,F,,10.45,75.5,84.2,100.0,94.7,-24.5,-10.5,0.0,0.0,0.0,0.071,0.33299999999999996,0.174,12.5,0.33299999999999996,0.478,0.33299999999999996,0.331,90.03,87.27,72.73,19.0,0.177,2013-12-01,2013-14,Pelicans,Anthony Davis,fractured left hand (out indefinitely)
21300361,1610612752.0,NYK,New York,203143.0,Pablo Prigioni,G,,18.333333333333332,71.5,73.0,116.4,116.7,-44.9,-43.7,0.273,3.0,42.9,0.0,0.071,0.026000000000000002,14.3,0.0,0.0,0.098,0.098,96.66,95.56,79.64,37.0,0.0,2013-12-16,2013-14,Knicks,Pablo Prigioni,fractured right toe (out indefinitely)
21300396,1610612745.0,HOU,Houston,201976.0,Patrick Beverley,G,,14.583333333333334,117.2,118.2,98.8,97.0,18.4,21.2,0.182,2.0,18.2,0.0,0.214,0.111,9.1,0.5,0.644,0.243,0.248,108.09,108.62,90.51,33.0,0.161,2013-12-21,2013-14,Rockets,Patrick Beverley,fractured right hand (out indefinitely)
