game_id,team_id_a,team_id_b,away_home_a
21000586,1610612747,1610612751,1
21000587,1610612737,1610612745,1
21000588,1610612766,1610612740,1
21000589,1610612761,1610612764,0
21000590,1610612765,1610612758,1
21000591,1610612741,1610612748,1
21000592,1610612742,1610612763,0
21000593,1610612750,1610612753,1
21000594,1610612739,1610612743,0
21000595,1610612751,1610612757,0
21000596,1610612746,1610612747,1
21000597,1610612743,1610612759,0
21000598,1610612752,1610612756,1
21000599,1610612762,1610612764,0
21000600,1610612741,1610612763,0
21000601,1610612766,1610612755,0
21000602,1610612745,1610612749,1
21000603,1610612740,1610612761,1
21000604,1610612742,1610612765,0
21000605,1610612754,1610612746,0
21000606,1610612737,1610612758,1
21000607,1610612744,1610612751,1
21000608,1610612738,1610612753,1
21000609,1610612750,1610612757,0
21000610,1610612747,1610612760,1
21000611,1610612737,1610612748,0
21000612,1610612766,1610612741,0
21000613,1610612739,1610612756,1
21000614,1610612751,1610612762,1
21000615,1610612753,1610612755,1
21000616,1610612738,1610612765,1
21000617,1610612749,1610612764,1
21000618,1610612763,1610612740,0
21000619,1610612745,1610612752,1
21000620,1610612759,1610612761,1
21000621,1610612742,1610612747,1
21000622,1610612743,1610612760,1
21000623,1610612757,1610612758,0
21000624,1610612744,1610612754,1
21000625,1610612746,1610612750,1
21000626,1610612766,1610612755,1
21000627,1610612741,1610612742,1
21000628,1610612746,1610612757,0
21000629,1610612765,1610612751,0
21000630,1610612753,1610612761,1
21000631,1610612737,1610612740,1
21000632,1610612738,1610612762,1
21000633,1610612739,1610612749,1
21000634,1610612756,1610612764,0
21000635,1610612745,1610612763,0
21000636,1610612752,1610612759,0
21000637,1610612743,1610612747,1
21000638,1610612744,1610612758,1
21000639,1610612737,1610612766,0
21000640,1610612742,1610612751,0
21000641,1610612738,1610612764,0
21000642,1610612765,1610612756,1
21000643,1610612748,1610612761,1
21000644,1610612755,1610612762,1
21000645,1610612741,1610612739,1
21000646,1610612740,1610612759,1
21000647,1610612752,1610612760,0
21000648,1610612745,1610612753,1
21000649,1610612763,1610612749,0
21000650,1610612754,1610612757,0
21000651,1610612744,1610612746,0
21000652,1610612743,1610612754,1
21000653,1610612739,1610612751,0
21000654,1610612765,1610612753,0
21000655,1610612755,1610612756,1
21000656,1610612763,1610612761,0
21000657,1610612752,1610612764,1
21000658,1610612741,1610612749,1
21000659,1610612745,1610612750,0
21000660,1610612740,1610612760,1
21000661,1610612757,1610612758,1
21000662,1610612744,1610612759,1
21000663,1610612743,1610612764,0
21000664,1610612738,1610612739,1
21000665,1610612742,1610612746,1
21000666,1610612766,1610612758,0
21000667,1610612747,1610612762,1
21000668,1610612754,1610612753,1
21000669,1610612763,1610612751,0
21000670,1610612755,1610612761,0
21000671,1610612743,1610612765,0
21000672,1610612737,1610612749,0
21000673,1610612750,1610612760,1
21000674,1610612745,1610612746,1
21000675,1610612766,1610612756,0
21000676,1610612759,1610612762,0
21000677,1610612744,1610612740,1
21000678,1610612748,1610612752,0
21000679,1610612742,1610612745,1
21000680,1610612738,1610612757,0
21000681,1610612754,1610612751,1
21000682,1610612763,1610612755,0
21000683,1610612749,1610612761,0
21000684,1610612737,1610612752,1
21000685,1610612739,1610612743,1
21000686,1610612765,1610612748,0
21000687,1610612741,1610612753,1
21000688,1610612760,1610612764,1
21000689,1610612750,1610612762,0
21000690,1610612738,1610612756,0
21000691,1610612766,1610612744,0
21000692,1610612747,1610612758,1
21000693,1610612741,1610612754,1
21000694,1610612763,1610612764,1
21000695,1610612750,1610612761,1
21000696,1610612737,1610612742,0
21000697,1610612749,1610612751,1
21000698,1610612745,1610612759,0
21000699,1610612740,1610612758,0
21000700,1610612766,1610612746,0
21000701,1610612748,1610612760,0
21000702,1610612738,1610612747,0
21000703,1610612739,1610612753,0
21000704,1610612743,1610612755,0
21000705,1610612765,1610612752,0
21000706,1610612740,1610612756,0
21000707,1610612744,1610612762,1
21000708,1610612754,1610612761,1
21000709,1610612743,1610612751,0
21000710,1610612739,1610612748,0
21000711,1610612763,1610612753,1
21000712,1610612742,1610612764,1
21000713,1610612766,1610612762,0
21000714,1610612746,1610612749,1
21000715,1610612740,1610612764,1
21000716,1610612757,1610612759,1
21000717,1610612738,1610612758,0
21000718,1610612745,1610612747,0
21000719,1610612737,1610612761,1
21000720,1610612739,1610612754,1
21000721,1610612751,1610612755,1
21000722,1610612766,1610612765,0
21000723,1610612742,1610612752,0
21000724,1610612763,1610612750,0
21000725,1610612740,1610612760,0
21000726,1610612743,1610612757,1
21000727,1610612749,1610612756,0
21000728,1610612745,1610612762,0
21000729,1610612741,1610612746,0
21000730,1610612748,1610612753,0
21000731,1610612744,1610612749,1
21000732,1610612747,1610612759,1
21000733,1610612766,1610612748,1
21000734,1610612754,1610612757,1
21000735,1610612752,1610612755,0
21000736,1610612750,1610612761,0
21000737,1610612753,1610612764,0
21000738,1610612737,1610612746,1
21000739,1610612765,1610612751,1
21000740,1610612738,1610612742,1
21000741,1610612739,1610612763,0
21000742,1610612760,1610612756,0
21000743,1610612758,1610612759,1
21000744,1610612743,1610612762,1
21000745,1610612766,1610612742,1
21000746,1610612737,1610612764,0
21000747,1610612739,1610612757,1
21000748,1610612747,1610612740,0
21000749,1610612745,1610612763,1
21000750,1610612765,1610612749,0
21000751,1610612743,1610612750,0
21000752,1610612760,1610612762,0
21000753,1610612741,1610612744,0
21000754,1610612746,1610612748,0
21000755,1610612754,1610612751,0
21000756,1610612752,1610612755,1
21000757,1610612738,1610612753,1
21000758,1610612738,1610612766,0
21000759,1610612747,1610612763,0
21000760,1610612750,1610612740,0
21000761,1610612739,1610612742,0
21000762,1610612743,1610612745,1
21000763,1610612741,1610612757,0
21000764,1610612758,1610612762,1
21000765,1610612744,1610612756,1
21000766,1610612737,1610612755,1
21000767,1610612746,1610612753,0
21000768,1610612765,1610612759,1
21000769,1610612754,1610612748,0
21000770,1610612749,1610612761,1
21000771,1610612763,1610612760,0
21000772,1610612745,1610612750,1
21000773,1610612739,1610612765,1
21000774,1610612766,1610612754,0
21000775,1610612751,1610612740,1
21000776,1610612753,1610612755,0
21000777,1610612759,1610612761,0
21000778,1610612749,1610612764,0
21000779,1610612746,1610612752,0
21000780,1610612741,1610612762,0
21000781,1610612742,1610612758,0
21000782,1610612743,1610612744,0
21000783,1610612738,1610612747,1
21000784,1610612744,1610612756,0
